host,size,shuffle,variant,reference,tm_med,tr_med,tm_ratio,tr_ratio,tm_w1_pct,tr_w1_pct,delta_w1_pct,tr_gt_tm_w1
c920bn3,128,1,wtime_current,cntvcto_current,8639.0,8429.0,0.998728323699422,0.9963356973995272,0.2109883894340831,0.44220231213872835,-0.23121392270464525,True
c920bn3,128,2,cgt_current,cntvcto_current,8660.0,8470.0,1.001156069364162,1.0011820330969268,0.09982815710928576,0.09982820809248555,-5.098319978691368e-08,True
c920bn3,128,2,cntvct_current,cntvcto_current,8650.0,8460.0,1.0,1.0,0.0007775833397208443,0.0007775722543352612,1.1085385583108932e-08,False
c920bn3,128,2,cntvcto_current,cntvcto_current,8650.0,8460.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,128,2,papi_time_only,cntvcto_current,8820.0,8481.0,1.0196531791907515,1.002482269503546,1.9989561877294666,0.19017722543352603,1.8087789622959405,False
c920bn3,128,2,papix6_current,cntvcto_current,8820.0,8469.0,1.0196531791907515,1.001063829787234,1.9581431786543395,0.10487850844049768,1.8532646702138418,False
c920bn3,128,2,papix6_read_before_ns0,cntvcto_current,8800.0,8470.0,1.0173410404624277,1.0011820330969268,1.7779224531754647,0.17226358381502888,1.605658869360436,False
c920bn3,128,2,wtime_current,cntvcto_current,8639.0,8430.0,0.998728323699422,0.9964539007092199,0.2245624336641965,0.4442157225433526,-0.2196532888791561,True
c920bn3,256,0,cgt_current,cntvcto_current,34252.0,33553.0,1.000642711072159,0.9994935954721478,0.05267353402203829,0.06122045082658386,-0.00854691680454557,True
c920bn3,256,0,cntvct_current,cntvcto_current,34230.0,33570.0,1.0,1.0,0.011884845271025271,0.0064434706397904435,0.005441374631234828,False
c920bn3,256,0,cntvcto_current,cntvcto_current,34230.0,33570.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,256,0,papi_time_only,cntvcto_current,34412.0,33563.0,1.0053169734151328,0.9997914804885314,0.5279498689487643,0.02434311422728601,0.5036067547214783,False
c920bn3,256,0,papix6_current,cntvcto_current,34392.0,33541.0,1.0047326906222611,0.9991361334524873,0.4482143188085391,0.09936940081629027,0.34884491799224887,False
c920bn3,256,0,papix6_read_before_ns0,cntvcto_current,34392.0,33542.0,1.0047326906222611,0.9991659219541257,0.4461354479445785,0.099788197487584,0.3463472504569945,False
c920bn3,256,0,wtime_current,cntvcto_current,34201.0,33521.0,0.999152789950336,0.99854036341972,0.10003004055914443,0.12185641250365255,-0.02182637194450812,True
c920bn3,256,1,cgt_current,cntvcto_current,34243.0,33582.0,1.00008761682243,1.0000595592614652,0.03968799826247349,0.020785781670158748,0.018902216592314742,False
c920bn3,256,1,cntvct_current,cntvcto_current,34230.0,33570.0,0.9997079439252337,0.9997022036926743,0.011094583647530461,0.02562891002274868,-0.014534326375218218,True
c920bn3,256,1,cntvcto_current,cntvcto_current,34240.0,33580.0,1.0,1.0,0.0,0.0,0.0,False
c920bn3,256,1,papi_time_only,cntvcto_current,34412.0,33562.0,1.0050233644859814,0.9994639666468136,0.501318040917218,0.021915888200391698,0.4794021527168263,False
c920bn3,256,1,papix6_current,cntvcto_current,34393.0,33543.0,1.0044684579439251,0.9988981536628946,0.4405929989729001,0.11958745316353375,0.32100554580936635,False
c920bn3,256,1,papix6_read_before_ns0,cntvcto_current,34382.0,33542.0,1.0041471962616821,0.998868374032162,0.4180920149473233,0.09400455607476635,0.32408745887255697,False
